source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	Cluster	-log10(p_value)
GO:CC	GO:0036464	cytoplasmic ribonucleoprotein granule	0.008836344154070605	True	"""A ribonucleoprotein granule located in the cytoplasm."" [GOC:bf, GOC:PARL, PMID:15121898]"	63	1869	14	20029	0.00749063670411985	0.2222222222222222	query_1	['GO:0005737', 'GO:0035770']	16hr_60S_down	2.0537273777595075
GO:MF	GO:0005543	phospholipid binding	0.009047567636182804	True	"""Binding to a phospholipid, a class of lipids containing phosphoric acid as a mono- or diester."" [ISBN:0198506732]"	135	1846	22	22878	0.011917659804983749	0.16296296296296298	query_1	['GO:0008289']	16hr_60S_down	2.043468161586862
GO:MF	GO:0043891	glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] (phosphorylating) activity	0.009225009553453718	True	"""Catalysis of the reaction: D-glyceraldehyde 3-phosphate + phosphate + NAD(P)+ = 3-phospho-D-glyceroyl phosphate + NAD(P)H + H+."" [EC:1.2.1.59]"	7	1846	4	22878	0.0021668472372697724	0.5714285714285714	query_1	['GO:0016620']	16hr_60S_down	2.0350331754117112
GO:MF	GO:0004372	glycine hydroxymethyltransferase activity	0.009225009553453718	True	"""Catalysis of the reaction: 5,10-methylenetetrahydrofolate + glycine + H2O = tetrahydrofolate + L-serine."" [RHEA:15481]"	7	1846	4	22878	0.0021668472372697724	0.5714285714285714	query_1	['GO:0016742']	16hr_60S_down	2.0350331754117112
GO:BP	GO:0030163	protein catabolic process	0.009324949801977529	True	"""The chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:mah]"	306	1705	39	21925	0.02287390029325513	0.12745098039215685	query_1	['GO:0009057', 'GO:0019538']	16hr_60S_down	2.030353497404834
GO:MF	GO:0035251	UDP-glucosyltransferase activity	0.00945499410785832	True	"""Catalysis of the transfer of a glucosyl group from UDP-glucose to an acceptor molecule."" [PMID:19858195]"	153	1846	24	22878	0.013001083423618635	0.1568627450980392	query_1	['GO:0008194', 'GO:0046527']	16hr_60S_down	2.0243387374615027
GO:MF	GO:0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	0.009562624327078413	True	"""Catalysis of the hydrolysis of any non-peptide carbon-nitrogen bond in a cyclic amidine, a compound of the form R-C(=NH)-NH2."" [EC:3.5.4.-]"	28	1846	8	22878	0.004333694474539545	0.2857142857142857	query_1	['GO:0016810']	16hr_60S_down	2.019422905384668
GO:BP	GO:1901401	regulation of tetrapyrrole metabolic process	0.009628448698330246	True	"""Any process that modulates the frequency, rate or extent of tetrapyrrole metabolic process."" [GOC:mengo_curators, GOC:TermGenie]"	30	1705	8	21925	0.00469208211143695	0.26666666666666666	query_1	['GO:0019222', 'GO:0033013']	16hr_60S_down	2.016443679233291
GO:BP	GO:0016049	cell growth	0.009696233005838235	True	"""The process in which a cell irreversibly increases in size over time by accretion and biosynthetic production of matter similar to that already present."" [GOC:ai]"	419	1705	50	21925	0.02932551319648094	0.11933174224343675	query_1	['GO:0009987', 'GO:0040007']	16hr_60S_down	2.013396956715957
GO:BP	GO:0019216	regulation of lipid metabolic process	0.009995684601465294	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving lipids."" [GOC:go_curators]"	83	1705	15	21925	0.008797653958944282	0.18072289156626506	query_1	['GO:0006629', 'GO:0080090']	16hr_60S_down	2.0001874558273234
GO:MF	GO:0004175	endopeptidase activity	0.0100749193112912	True	"""Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain."" [http://merops.sanger.ac.uk/about/glossary.htm#ENDOPEPTIDASE]"	341	1846	44	22878	0.023835319609967497	0.12903225806451613	query_1	['GO:0008233']	16hr_60S_down	1.9967584233805313
GO:CC	GO:0000138	Golgi trans cisterna	0.010123980433516429	True	"""The Golgi cisterna farthest from the endoplasmic reticulum; the final processing compartment through which proteins pass before exiting the Golgi apparatus; the compartment in which N-linked protein glycosylation is completed."" [ISBN:0815316194]"	85	1869	17	20029	0.00909577314071696	0.2	query_1	['GO:0031985']	16hr_60S_down	1.9946487028681943
GO:BP	GO:0080147	root hair cell development	0.010181505395748849	True	"""The process whose specific outcome is the progression of a root hair cell over time, from its formation to the mature state."" [PMID:19675148]"	100	1705	17	21925	0.00997067448680352	0.17	query_1	['GO:0048468', 'GO:0048765']	16hr_60S_down	1.9921880042456814
GO:BP	GO:0043043	peptide biosynthetic process	0.010181505395748849	True	"""The chemical reactions and pathways resulting in the formation of peptides, compounds of 2 or more (but usually less than 100) amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another. This may include the translation of a precursor protein and its subsequent processing into a functional peptide."" [GOC:dph, GOC:jl]"	4	1705	3	21925	0.0017595307917888563	0.75	query_1	['GO:0006518', 'GO:0009058']	16hr_60S_down	1.9921880042456814
GO:BP	GO:0043649	dicarboxylic acid catabolic process	0.010181505395748849	True	"""The chemical reactions and pathways resulting in the breakdown of dicarboxylic acids, any organic acid containing two carboxyl (-COOH) groups."" [ISBN:0198506732]"	4	1705	3	21925	0.0017595307917888563	0.75	query_1	['GO:0043648', 'GO:0046395']	16hr_60S_down	1.9921880042456814
GO:BP	GO:0035246	peptidyl-arginine N-methylation	0.010181505395748849	True	"""The addition of a methyl group onto a nitrogen atom of an arginine residue in a protein."" [GOC:bf]"	4	1705	3	21925	0.0017595307917888563	0.75	query_1	['GO:0018216']	16hr_60S_down	1.9921880042456814
GO:BP	GO:0033355	ascorbate glutathione cycle	0.010181505395748849	True	"""A cyclic series of interconversions involving L-ascorbate and glutathione that scavenges hydrogen peroxide and reduces it to water, with concomitant oxidation of NADPH."" [GOC:mah, MetaCyc:PWY-2261]"	4	1705	3	21925	0.0017595307917888563	0.75	query_1	['GO:0006749', 'GO:0019852', 'GO:0042744']	16hr_60S_down	1.9921880042456814
GO:BP	GO:0000272	polysaccharide catabolic process	0.010181505395748849	True	"""The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."" [PMID:33139480]"	181	1705	26	21925	0.015249266862170088	0.143646408839779	query_1	['GO:0005976', 'GO:0009057', 'GO:0016052']	16hr_60S_down	1.9921880042456814
GO:BP	GO:0006065	UDP-glucuronate biosynthetic process	0.010181505395748849	True	"""The chemical reactions and pathways resulting in the formation of UDP-glucuronate, a substance composed of glucuronic acid in glycosidic linkage with uridine diphosphate."" [GOC:ai]"	4	1705	3	21925	0.0017595307917888563	0.75	query_1	['GO:0009226', 'GO:0046394', 'GO:0046398']	16hr_60S_down	1.9921880042456814
GO:BP	GO:0006858	extracellular transport	0.010181505395748849	True	"""The transport of substances that occurs outside cells."" [GOC:go_curators]"	4	1705	3	21925	0.0017595307917888563	0.75	query_1	['GO:0006810']	16hr_60S_down	1.9921880042456814
GO:BP	GO:0016120	carotene biosynthetic process	0.010181505395748849	True	"""The chemical reactions and pathways resulting in the formation of carotenes, hydrocarbon carotenoids."" [GOC:go_curators]"	4	1705	3	21925	0.0017595307917888563	0.75	query_1	['GO:0016119', 'GO:0046246']	16hr_60S_down	1.9921880042456814
GO:BP	GO:0006556	S-adenosylmethionine biosynthetic process	0.010181505395748849	True	"""The chemical reactions and pathways resulting in the formation of S-adenosylmethionine, S-(5'-adenosyl)-L-methionine, an important intermediate in one-carbon metabolism."" [GOC:go_curators, ISBN:0198506732]"	4	1705	3	21925	0.0017595307917888563	0.75	query_1	['GO:0044272', 'GO:0046500']	16hr_60S_down	1.9921880042456814
GO:BP	GO:0046173	polyol biosynthetic process	0.010352711876456986	True	"""The chemical reactions and pathways resulting in the formation of a polyol, any alcohol containing three or more hydroxyl groups attached to saturated carbon atoms."" [GOC:curators]"	24	1705	7	21925	0.004105571847507331	0.2916666666666667	query_1	['GO:0019751', 'GO:0046165']	16hr_60S_down	1.9849458725537168
GO:BP	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.010352711876456986	True	"""A major pathway of degradation of nuclear-transcribed mRNAs that proceeds through a series of ordered steps that includes poly(A) tail shortening and that can regulate mRNA stability."" [GOC:jp, GOC:krc]"	24	1705	7	21925	0.004105571847507331	0.2916666666666667	query_1	['GO:0000956', 'GO:0061157']	16hr_60S_down	1.9849458725537168
GO:BP	GO:0006970	response to osmotic stress	0.010501398207078107	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of solutes outside the organism or cell."" [GOC:jl]"	537	1705	61	21925	0.03577712609970674	0.11359404096834265	query_1	['GO:0006950', 'GO:0009628']	16hr_60S_down	1.978752873007036
GO:MF	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	0.010769942671148745	True	"""Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a substrate."" [GOC:mah]"	313	1846	41	22878	0.022210184182015168	0.13099041533546327	query_1	['GO:0008168']	16hr_60S_down	1.9677866084633944
GO:BP	GO:0010019	chloroplast-nucleus signaling pathway	0.011222758617343889	True	"""The process in which a molecular signal is transduced between the chloroplast and nucleus, such that expression of nuclear encoding photosynthetic proteins is coupled with chloroplast biogenesis."" [PMID:8972595]"	8	1705	4	21925	0.002346041055718475	0.5	query_1	['GO:0035556']	16hr_60S_down	1.9499003779253063
GO:BP	GO:0016119	carotene metabolic process	0.011222758617343889	True	"""The chemical reactions and pathways involving carotenes, hydrocarbon carotenoids."" [ISBN:0198547684]"	8	1705	4	21925	0.002346041055718475	0.5	query_1	['GO:0042214']	16hr_60S_down	1.9499003779253063
GO:BP	GO:0070813	hydrogen sulfide metabolic process	0.011222758617343889	True	"""The chemical reactions and pathways involving hydrogen sulfide, H2S."" [GOC:mah]"	8	1705	4	21925	0.002346041055718475	0.5	query_1	['GO:0006790']	16hr_60S_down	1.9499003779253063
GO:BP	GO:0070814	hydrogen sulfide biosynthetic process	0.011222758617343889	True	"""The chemical reactions and pathways resulting in the formation of hydrogen sulfide, H2S."" [GOC:mah]"	8	1705	4	21925	0.002346041055718475	0.5	query_1	['GO:0044272', 'GO:0070813']	16hr_60S_down	1.9499003779253063
GO:BP	GO:0009698	phenylpropanoid metabolic process	0.01127399080379507	True	"""The chemical reactions and pathways involving aromatic derivatives of trans-cinnamic acid."" [GOC:jl]"	164	1705	24	21925	0.01407624633431085	0.14634146341463414	query_1	['GO:0019748']	16hr_60S_down	1.9479223237701047
GO:MF	GO:0016864	intramolecular oxidoreductase activity, transposing S-S bonds	0.011485520444935844	True	"""Catalysis of an oxidation-reduction (redox) reaction in which the hydrogen donor and acceptor are the same molecule, one or more sulfur-sulfur bonds in the molecule are rearranged, and no oxidized product appears."" [EC:5.3.4.-, GOC:mah]"	17	1846	6	22878	0.0032502708559046588	0.35294117647058826	query_1	['GO:0016860']	16hr_60S_down	1.9398493207786884
GO:MF	GO:0003756	protein disulfide isomerase activity	0.011485520444935844	True	"""Catalysis of the rearrangement of both intrachain and interchain disulfide bonds in proteins."" [EC:5.3.4.1, GOC:vw, Wikipedia:Protein_disulfide-isomerase#Function]"	17	1846	6	22878	0.0032502708559046588	0.35294117647058826	query_1	['GO:0016864', 'GO:0140096']	16hr_60S_down	1.9398493207786884
GO:BP	GO:0048589	developmental growth	0.011595476087862044	True	"""The increase in size or mass of an entire organism, a part of an organism or a cell, where the increase in size or mass has the specific outcome of the progression of the organism over time from one condition to another."" [GOC:go_curators]"	497	1705	57	21925	0.03343108504398827	0.11468812877263582	query_1	['GO:0032502', 'GO:0040007']	16hr_60S_down	1.9357114153669428
KEGG	KEGG:01232	Nucleotide metabolism	0.011793873423537986	True	Nucleotide metabolism	84	865	24	5300	0.027745664739884393	0.2857142857142857	query_1	['KEGG:00000']	16hr_60S_down	1.9283435375514273
GO:BP	GO:0006637	acyl-CoA metabolic process	0.011825990635536514	True	"""The chemical reactions and pathways involving acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with an acyl group."" [ISBN:0198506732]"	38	1705	9	21925	0.005278592375366569	0.23684210526315788	query_1	['GO:0006753', 'GO:0035383', 'GO:0043603', 'GO:0072521']	16hr_60S_down	1.9271624692348015
GO:BP	GO:0035383	thioester metabolic process	0.011825990635536514	True	"""The chemical reactions and pathways involving a thioester, a compound of general formula RC(=O)SR' in which the linking oxygen in an ester is replaced by a sulfur atom. They are the product of esterification between a carboxylic acid and a thiol."" [GOC:bf, Wikipedia:Thioester]"	38	1705	9	21925	0.005278592375366569	0.23684210526315788	query_1	['GO:0006790']	16hr_60S_down	1.9271624692348015
GO:MF	GO:0016646	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor	0.011934661985874775	True	"""Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH group acts as a hydrogen or electron donor and reduces NAD or NADP."" [GOC:jl]"	12	1846	5	22878	0.0027085590465872156	0.4166666666666667	query_1	['GO:0016645']	16hr_60S_down	1.9231898765942335
GO:MF	GO:0009815	1-aminocyclopropane-1-carboxylate oxidase activity	0.011934661985874775	True	"""Catalysis of the reaction: 1-aminocyclopropane-1-carboxylate + L-ascorbate + O2 = CO2 + dehydroascorbate + ethylene + 2 H2O + hydrogen cyanide. Ethene is also known as ethylene."" [RHEA:23640]"	12	1846	5	22878	0.0027085590465872156	0.4166666666666667	query_1	['GO:0016715']	16hr_60S_down	1.9231898765942335
